Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Response,TotalSpend,TotalPurchases,TotalCampaignsAccepted,EducationLevel,CustomerTenure,Age
Married,7500.0,1,0,19,3,5,0,0,31,5,0,4,4590,51
Single,79941.0,0,0,72,1,1,0,0,984,15,0,3,4321,50
Married,7500.0,0,0,24,3,9,0,1,122,7,0,2,4917,30
Together,41728.0,1,0,92,1,10,0,0,55,4,0,3,4721,58
Single,51381.5,2,1,96,3,6,0,0,124,7,0,3,4499,75
Married,72550.0,1,1,39,9,8,0,0,1319,19,0,4,4918,72
Widow,65486.0,0,1,29,1,2,0,0,507,16,0,3,4368,69
Married,79143.0,0,0,2,1,3,0,0,1693,28,0,4,5007,62
Single,35790.0,1,0,54,2,7,0,0,72,5,0,3,4863,49
Divorced,82582.0,0,0,54,1,1,0,1,1617,20,2,3,4342,49
Married,66373.0,1,1,57,7,3,0,0,606,16,0,3,4702,48
Together,82384.0,0,0,55,1,1,0,1,1957,26,1,4,4907,71
Divorced,70287.0,0,0,30,1,3,0,1,1093,20,0,3,4773,60
Single,27938.0,1,0,31,1,3,0,0,29,5,0,3,4382,38
Single,51381.5,1,0,57,2,6,0,0,46,5,0,3,4697,44
Married,55954.0,0,1,63,3,7,0,0,518,16,0,4,4438,58
Single,75777.0,0,0,12,1,1,0,1,1438,20,2,4,4680,44
Together,66653.0,1,1,18,4,3,0,0,612,18,0,3,4980,51
Single,61823.0,0,1,26,4,7,0,0,884,20,0,3,4816,74
Widow,67680.0,0,1,8,1,5,0,0,606,18,0,4,4703,75
Together,70666.0,0,0,29,1,4,0,0,1076,15,0,3,4525,78
Married,25721.0,1,0,75,1,7,0,1,34,4,0,3,4724,55
Together,32474.0,1,1,0,1,7,0,0,11,3,0,3,4369,59
Single,88194.0,0,1,19,1,5,0,1,1274,31,2,2,4422,47
Together,69096.0,0,1,4,1,4,0,0,653,17,0,3,4595,68
Together,74854.0,1,2,90,7,5,0,0,1562,12,0,3,4767,56
Married,66991.0,0,0,1,3,3,0,0,1253,18,0,4,4976,72
Married,51381.5,1,0,25,3,8,0,0,109,6,0,2,4973,53
Married,65031.0,0,1,29,4,7,0,0,863,26,0,3,4789,67
Married,60631.0,1,1,88,5,7,0,0,661,19,1,4,4770,51
Married,28332.0,0,0,58,1,2,0,0,65,7,0,3,4380,74
Divorced,40246.0,1,0,68,1,6,0,0,13,3,0,3,4877,49
Married,75251.0,0,0,34,1,5,0,1,1890,18,0,4,4991,54
Single,75825.0,0,0,40,0,4,0,1,2209,22,1,3,4945,50
Together,26326.0,0,0,12,1,3,1,0,18,3,0,2,4618,50
Together,56046.0,0,0,9,2,8,0,1,692,19,1,3,4863,61
Single,29760.0,1,0,87,4,8,0,0,165,8,0,3,4989,41
Married,26304.0,1,0,5,1,7,0,0,16,3,0,3,4691,57
Married,23559.0,1,0,87,3,7,0,0,79,6,0,2,4681,53
Together,38620.0,0,0,56,1,3,0,0,318,10,0,4,4734,63
Divorced,81361.0,0,0,18,1,1,0,0,778,26,0,3,4444,39
Married,29440.0,1,1,95,2,7,0,0,56,5,0,3,4642,66
Married,36138.0,1,1,48,5,7,0,0,151,8,1,4,4668,56
Single,50388.0,0,1,3,4,7,0,1,372,13,2,3,4352,69
Married,79593.0,0,0,70,1,2,0,0,1366,18,1,3,4368,53
Together,54178.0,0,1,79,1,2,0,0,194,9,0,3,4479,59
Married,51381.5,2,1,4,12,9,0,0,603,17,0,4,4907,69
Single,51381.5,1,1,45,1,7,0,0,18,3,0,3,4353,69
Together,51381.5,0,0,87,1,1,0,0,985,14,0,4,4538,53
Single,42394.0,1,0,69,1,7,0,0,32,4,0,4,4418,54
Married,23626.0,1,0,84,3,5,0,0,43,7,0,4,4356,56
Married,30096.0,1,0,30,1,6,0,0,45,5,0,3,4358,43
Widow,47916.0,0,1,72,5,6,0,0,606,17,1,3,4904,66
Divorced,51813.0,1,1,37,2,7,0,0,63,5,0,3,4764,54
Married,78497.0,0,0,44,1,2,0,0,978,24,1,2,4530,75
Married,50150.0,0,0,32,2,5,0,0,410,14,0,4,4694,43
Single,47823.0,0,1,0,2,8,0,0,72,5,0,2,4661,66
Single,34554.0,0,1,43,2,6,0,0,55,5,0,4,4411,67
Together,85693.0,0,1,59,2,5,0,0,1169,25,0,3,4755,47
Married,65846.0,0,0,68,1,4,0,0,1120,15,0,4,4728,81
Married,87195.0,0,0,35,1,1,0,1,1097,19,0,3,4372,67
Together,24594.0,1,0,94,1,5,0,0,29,4,0,1,4521,47
Married,49096.0,1,1,15,4,7,0,0,187,9,0,3,4598,62
Married,52413.0,0,2,56,4,6,0,0,910,22,0,3,4832,57
Single,38557.0,1,0,17,2,7,0,0,145,7,0,3,4877,48
Married,89058.0,0,0,18,1,2,0,0,850,13,0,4,4889,66
Together,77298.0,0,1,46,1,3,0,0,969,23,0,3,4559,47
Single,68126.0,0,0,40,1,9,0,1,1820,16,1,4,4916,35
Together,57288.0,0,1,27,3,6,0,0,608,17,1,4,4324,63
Single,86037.0,0,0,95,1,3,0,1,730,24,2,3,4863,35
Married,43974.0,1,0,19,5,7,0,0,551,16,0,4,4884,46
Single,50785.0,1,1,27,2,6,0,0,114,6,0,3,4612,64
Married,90765.0,0,0,25,0,1,0,0,1724,15,2,3,4476,56
Married,36550.0,1,0,74,5,9,0,0,577,15,0,2,4815,48
Together,30753.0,1,1,85,2,5,0,0,81,5,0,2,4673,59
Together,21918.0,1,0,37,2,6,0,0,33,5,0,3,4547,57
Together,56129.0,0,1,65,4,4,0,0,660,18,0,4,4694,73
Single,32557.0,1,0,13,3,5,0,1,80,6,0,4,4445,59
Married,19510.0,2,0,63,2,7,0,0,30,4,0,4,4618,41
Divorced,30992.0,1,0,83,1,7,0,0,43,4,0,3,4753,50
Single,101970.0,0,0,69,0,2,0,1,1135,27,3,3,4794,43
Together,71488.0,0,0,87,2,1,0,0,559,14,0,2,4816,61
Single,79607.0,0,0,37,1,1,0,1,1923,15,0,3,4754,42
Married,54348.0,1,1,51,2,6,0,0,90,6,0,4,4341,73
Married,51381.5,0,1,23,3,6,0,0,404,14,0,4,4673,65
Together,77376.0,1,1,72,4,4,0,0,661,19,0,4,4370,70
Married,62998.0,0,1,10,5,5,0,0,463,14,0,3,4592,74
Single,61331.0,1,1,42,5,8,0,0,632,18,0,4,4796,68
Married,73448.0,0,0,10,1,4,0,0,725,18,0,3,4459,57
Married,51381.5,0,1,96,1,4,0,0,725,18,0,3,4642,63
Married,41551.0,1,1,51,5,8,0,0,279,11,0,4,4639,62
Together,62981.0,0,0,21,1,3,0,0,1482,22,1,4,4789,59
Divorced,9548.0,1,0,31,2,8,0,0,29,4,0,1,5010,50
Married,33762.0,2,1,61,3,8,0,0,106,6,0,4,4677,67
Single,35860.0,1,1,37,2,5,0,1,49,4,1,4,4361,53
Divorced,36921.0,1,1,74,2,7,0,0,38,5,0,4,4656,61
Single,92859.0,0,0,46,1,2,0,0,2077,21,0,4,4938,34
Together,65104.0,0,1,4,2,7,0,1,1053,15,0,4,4547,50
Married,86111.0,0,0,73,1,2,0,0,1385,22,0,3,4756,64
Single,68352.0,0,1,47,3,6,0,0,871,22,0,4,4625,52
Together,41883.0,1,0,13,3,7,0,0,312,9,0,3,4787,38
Married,59809.0,0,2,36,3,8,0,0,877,12,0,3,4939,50
Married,23957.0,1,0,47,1,6,0,1,68,5,0,3,4929,51
Together,38547.0,1,0,49,1,8,1,0,22,3,0,3,4625,45
Married,35688.0,2,1,94,7,8,0,0,211,9,0,2,4996,53
Married,49605.0,0,0,65,1,3,0,0,127,7,0,4,4328,60
Married,59354.0,0,2,59,1,3,0,0,459,15,0,4,4386,73
Married,65747.0,0,1,96,4,6,0,0,460,15,1,3,4434,57
Together,46344.0,0,1,28,4,7,0,0,429,13,0,2,4882,54
Single,34176.0,1,0,12,4,6,0,0,89,7,0,3,4368,38
Together,61010.0,0,1,57,2,5,0,0,1021,24,0,4,4948,74
Together,69372.0,0,0,10,1,4,0,1,1381,20,2,3,4815,77
Single,49967.0,0,1,4,3,7,0,0,306,12,0,3,4676,68
Single,60199.0,1,2,49,1,4,0,0,18,3,0,3,4610,48
Together,55375.0,0,1,3,1,2,0,0,162,8,0,3,4575,49
Single,80317.0,0,0,64,1,1,0,0,1231,17,0,3,4633,71
Single,30523.0,2,1,0,1,7,0,0,13,3,0,4,4683,68
Married,70356.0,0,0,20,2,6,0,0,1706,25,0,4,4921,81
Married,23228.0,1,0,91,4,8,0,0,121,7,0,3,4495,42
Divorced,74165.0,0,0,9,1,2,0,0,1293,19,0,4,4744,51
Married,157243.0,0,1,98,15,0,0,0,1608,22,0,4,4440,53
Together,43482.0,2,1,83,3,6,0,0,88,6,0,3,4548,60
Divorced,62551.0,0,0,27,1,3,0,0,421,17,1,3,4543,73
Divorced,52332.0,0,0,63,1,4,0,0,259,11,1,3,4625,67
Single,66951.0,0,0,46,1,1,0,0,1117,14,0,3,4559,38
Together,26091.0,1,1,84,3,5,0,0,89,6,0,3,4444,69
Together,33456.0,1,1,58,2,7,0,0,36,4,0,3,4389,61
Married,28718.0,1,0,78,2,8,0,0,57,5,0,3,4671,44
Married,50447.0,2,0,4,1,6,0,0,148,7,0,3,4389,56
Together,53537.0,1,1,17,2,5,0,0,93,6,0,4,4470,67
Single,52074.0,0,1,77,1,4,0,0,119,6,1,3,4406,59
Married,80427.0,0,1,56,1,5,0,0,1835,27,0,4,4975,51
Married,83837.0,0,0,79,1,4,0,1,1318,24,2,4,4880,78
Married,38853.0,1,1,90,2,7,0,0,45,5,0,4,4357,56
Together,38285.0,2,1,96,1,2,0,0,10,3,0,3,4325,67
Married,78497.0,0,0,44,1,2,0,0,978,24,1,2,4530,75
Married,51650.0,0,1,81,1,5,0,0,191,9,0,4,4369,50
Married,16248.0,1,0,77,3,6,0,0,57,6,0,2,4370,38
Married,66835.0,0,0,21,1,2,0,0,1033,23,0,4,4594,80
Married,30477.0,1,0,16,1,6,0,0,66,5,0,4,4478,42
Married,28249.0,0,0,80,1,6,0,0,43,5,0,1,4334,65
Married,25271.0,1,0,45,1,9,0,0,50,4,0,3,4891,43
Single,32303.0,0,1,63,2,5,0,0,39,5,0,4,4433,56
Married,61286.0,0,1,34,2,5,0,0,608,16,0,3,4651,60
Married,74068.0,0,0,14,1,2,0,0,1581,23,0,3,4787,50
Married,45759.0,1,1,13,2,7,0,0,68,5,0,4,4811,62
Together,24882.0,1,0,52,1,6,0,0,80,4,1,1,4978,48
Together,66973.0,0,0,98,1,3,0,0,1282,27,0,4,4728,37
Married,38872.0,1,0,93,2,8,0,0,91,6,0,3,4715,38
Married,51148.0,1,1,38,4,6,0,0,315,12,0,3,4816,53
Married,31353.0,1,1,24,2,8,0,0,31,4,0,3,4502,49
Married,69661.0,0,0,80,1,3,0,0,834,22,0,4,4367,46
Married,80067.0,0,0,82,1,2,0,0,1600,16,1,3,4603,72
Married,86718.0,0,0,20,1,2,0,0,1270,16,0,3,4848,72
Single,46854.0,1,1,81,6,8,0,1,263,9,1,4,4410,53
Divorced,69142.0,0,1,50,3,5,0,0,535,16,1,3,4320,74
Single,75922.0,0,0,60,1,1,0,0,1295,17,0,3,4522,58
Divorced,63693.0,0,1,63,3,6,0,0,1150,26,0,3,4578,48
Together,102160.0,0,0,54,0,4,0,1,1240,26,3,4,4924,49
Single,40637.0,1,1,72,2,7,0,0,38,4,0,4,4667,61
Single,18890.0,0,0,5,1,6,0,1,35,3,1,4,4916,42
Together,29604.0,1,0,88,1,9,0,0,53,4,1,3,4523,38
Divorced,48721.0,1,1,50,6,6,0,0,293,11,0,4,4732,63
Married,44794.0,0,1,99,1,6,0,0,65,5,0,3,4341,60
Divorced,64497.0,0,1,17,5,8,0,1,1804,24,1,3,4977,72
Together,46097.0,0,1,11,5,4,0,0,241,10,0,3,4775,70
Together,77972.0,0,0,18,1,1,0,0,1101,19,0,3,4423,72
Married,44377.0,1,1,70,8,8,0,0,264,11,0,4,4952,58
Together,46014.0,1,1,21,10,7,0,0,541,16,0,4,4844,52
Married,70951.0,0,0,66,1,1,0,0,1198,16,0,3,4741,41
Married,41443.0,1,0,79,6,8,0,0,482,14,0,3,4409,49
Single,52195.0,2,1,2,1,8,0,0,17,3,0,2,4368,48
Married,83790.0,0,0,81,1,3,0,0,1615,24,2,4,4546,78
Widow,44551.0,0,1,24,2,7,0,0,285,10,0,4,4622,72
Together,69508.0,1,0,48,2,6,0,0,1135,26,0,3,4912,46
Together,45204.0,1,0,93,1,3,0,0,114,6,0,2,4399,38
Married,72460.0,0,0,56,1,1,0,0,1047,15,0,3,4547,57
Together,77622.0,0,2,3,2,3,0,0,714,20,0,4,4396,56
Married,30732.0,1,0,44,4,8,0,0,185,9,0,4,4860,46
Divorced,63887.0,0,1,38,5,6,0,0,1245,27,0,3,4979,64
Together,42011.0,1,0,46,4,8,0,0,189,8,0,3,4780,48
Together,51369.0,0,1,84,2,8,0,0,576,14,0,3,4932,50
Divorced,51537.0,0,1,27,3,8,0,0,1103,15,0,3,4887,74
Married,79930.0,0,0,72,1,2,0,0,1753,16,0,4,5010,54
Together,34320.0,1,0,66,1,8,0,0,17,3,0,4,4453,40
Single,37070.0,1,1,30,9,7,0,1,433,14,0,3,4786,60
Divorced,81975.0,0,1,2,1,7,0,0,1588,13,1,2,4860,64
Together,38590.0,1,0,65,1,8,0,0,22,3,0,3,4730,55
Single,15033.0,0,0,37,1,3,0,0,19,4,0,3,4394,75
Married,62745.0,0,1,89,3,5,0,0,1117,26,0,4,4783,61
Married,22212.0,1,0,49,2,6,0,0,69,6,0,2,4522,51
Together,23661.0,1,0,46,1,7,0,0,23,4,0,4,4527,44
Single,79761.0,0,1,32,1,3,0,0,605,18,0,4,4588,68
Single,7500.0,1,0,54,4,7,0,0,57,7,0,3,4505,53
Widow,73455.0,0,0,98,1,3,0,0,2088,21,1,3,4564,58
Together,64961.0,0,1,97,2,3,0,0,1009,14,0,3,4873,68
Single,22804.0,1,0,75,1,9,0,0,26,4,0,3,4653,55
Married,73687.0,0,0,8,1,2,0,1,1627,21,1,3,4533,36
Married,61074.0,0,1,37,7,7,0,0,1102,24,0,3,5001,68
Married,31686.0,1,1,31,2,6,0,0,17,4,0,4,4344,62
Married,80134.0,1,0,40,2,6,0,1,1690,14,3,3,4725,54
Married,75027.0,0,1,74,2,5,0,0,1390,19,0,3,4856,73
Married,67546.0,0,0,90,1,3,0,0,2126,19,0,4,4987,38
Together,65176.0,0,1,57,4,6,0,0,1531,21,0,4,4928,57
Single,31160.0,1,0,59,2,8,0,0,64,5,0,4,4606,51
Single,29938.0,1,0,52,2,6,0,0,26,4,0,3,4565,41
Divorced,102692.0,0,0,5,1,2,0,1,1112,28,4,3,4770,52
Together,26490.0,0,0,92,2,6,0,0,210,9,0,2,4965,68
Together,75702.0,1,1,77,5,8,0,0,1148,21,0,3,4989,59
Single,30899.0,1,0,35,2,6,0,0,33,4,0,4,4944,52
Together,63342.0,0,1,48,3,6,0,0,1101,16,1,4,4941,65
Single,45989.0,0,1,97,4,3,0,0,322,12,0,3,4935,62
Single,18701.0,1,1,95,4,5,0,0,44,6,0,3,4710,62
Single,40737.0,2,1,24,1,8,0,0,17,3,0,4,4523,69
Divorced,15287.0,1,0,60,2,7,0,1,31,4,1,3,4947,47
Divorced,69674.0,0,2,46,3,5,0,0,845,22,0,4,4723,58
Married,44159.0,1,0,85,4,5,0,0,275,11,0,4,4332,56
Married,37717.0,1,0,31,1,9,0,0,25,3,0,4,4903,48
Together,43776.0,1,1,9,6,8,0,1,275,11,0,4,4831,74
Married,38179.0,1,1,30,4,7,0,0,90,7,0,4,4792,60
Married,80124.0,0,0,47,1,1,0,0,1495,18,1,3,4323,63
Married,38097.0,1,1,70,4,7,0,1,184,7,1,4,4942,56
Married,72940.0,0,0,13,1,1,0,0,981,12,0,3,4695,56
Together,22070.0,1,0,11,2,6,0,0,67,6,0,3,4588,56
Single,69267.0,0,0,31,2,7,0,1,1635,12,0,3,4965,73
Single,31788.0,1,0,15,3,5,1,0,60,7,0,4,4421,43
Together,61905.0,0,1,2,2,5,0,0,231,10,0,4,4465,51
Married,29315.0,1,1,55,4,6,0,0,48,6,0,3,4404,66
Divorced,33378.0,1,1,38,3,7,0,0,99,6,0,3,4828,63
Together,66313.0,0,1,86,2,4,0,0,770,21,0,4,4606,63
Single,60714.0,0,0,56,2,5,0,1,957,21,0,3,4848,70
Together,77882.0,0,0,29,1,1,0,0,818,11,0,4,4380,45
Single,69867.0,0,0,30,1,1,0,1,925,16,1,4,4773,40
Divorced,63841.0,0,1,64,1,6,0,0,908,21,0,4,4754,58
Married,24480.0,1,0,46,3,7,0,0,102,7,0,1,4823,45
Together,51369.0,0,1,84,2,8,0,0,576,14,0,3,4932,50
Together,37760.0,0,0,20,2,7,0,0,317,11,0,3,4987,80
Together,65640.0,0,1,74,1,2,0,0,461,14,0,4,4440,52
Married,44319.0,1,1,18,2,5,0,0,37,5,0,4,4393,51
Married,30631.0,1,0,75,1,7,0,0,70,6,0,3,4672,52
Together,75278.0,0,0,17,1,3,0,0,930,22,0,3,4836,74
Together,50898.0,1,1,88,13,5,0,0,859,20,0,4,4857,70
Widow,79946.0,0,0,19,1,3,0,0,1478,21,0,3,4368,60
Divorced,35416.0,0,0,62,3,8,0,0,390,13,0,4,4701,77
Together,32414.0,0,0,11,1,7,0,0,52,4,1,2,4680,42
Together,38361.0,1,0,74,3,7,0,0,137,7,0,3,4504,57
Married,82497.0,0,0,32,1,4,0,0,1919,18,1,3,4926,46
Together,16626.0,2,0,76,3,9,0,0,68,6,0,3,4485,55
Together,29672.0,1,1,6,1,6,0,0,25,3,0,3,4794,61
Together,55951.0,0,1,62,3,8,0,0,1374,20,2,4,4995,74
Divorced,35388.0,1,0,20,1,7,0,0,32,4,0,2,4799,38
Together,42386.0,1,0,43,1,8,0,0,100,6,0,4,4852,40
Single,68627.0,0,0,45,1,1,0,0,825,11,0,3,4853,44
Divorced,57912.0,0,1,34,5,5,0,0,916,23,1,4,4424,61
Divorced,35246.0,1,1,53,4,5,0,0,62,7,0,3,4394,68
Together,58821.0,0,1,44,1,6,0,0,728,20,0,2,4580,70
Married,46377.0,1,0,89,1,4,0,0,90,6,0,4,4440,48
Single,39747.0,1,0,43,3,8,0,0,273,10,0,3,4397,38
Together,23976.0,1,0,68,3,7,0,0,66,7,0,3,4504,42
Married,80950.0,0,0,44,1,2,0,0,1213,22,1,4,4778,65
Widow,27038.0,0,0,64,1,9,0,1,107,6,0,3,4969,60
Single,77457.0,0,0,85,1,1,0,0,1157,17,1,3,4436,79
Married,64100.0,0,1,93,1,7,0,0,546,17,1,4,4612,62
Together,42670.0,0,0,12,1,4,0,0,241,10,0,4,4748,34
Divorced,12571.0,1,0,86,4,6,0,0,53,7,0,3,4482,50
Married,22574.0,2,1,28,2,7,0,0,37,5,0,3,4564,59
Married,51381.5,0,0,69,1,3,0,0,1611,23,2,3,4711,37
Single,70893.0,0,0,42,1,3,0,0,1508,22,0,4,4828,50
Married,54198.0,1,1,13,6,4,0,0,235,10,0,3,4514,60
Together,28839.0,1,1,86,2,5,0,0,32,5,0,4,4430,70
Married,40321.0,1,1,59,2,7,0,0,102,6,0,3,4655,54
Single,66503.0,1,0,30,2,3,0,0,401,13,0,3,5004,41
Married,30833.0,1,1,33,2,5,0,0,28,4,0,3,4668,75
Single,51381.5,1,2,67,6,7,0,0,1052,15,2,3,4630,56
Married,64795.0,0,1,23,3,2,0,0,680,18,0,3,4848,55
Married,34421.0,1,0,81,1,7,0,0,30,3,0,3,4683,52
Divorced,47025.0,1,1,6,1,7,0,0,20,3,0,4,4460,61
Divorced,64325.0,0,1,41,5,7,0,0,1307,18,0,4,4827,65
Single,40464.0,0,1,78,6,8,0,0,630,18,0,3,4854,73
Married,62187.0,0,0,49,1,3,0,0,1283,17,0,3,4679,69
Divorced,14849.0,1,0,39,3,8,0,0,65,6,0,4,4682,50
Married,27255.0,1,0,3,1,7,0,0,37,4,0,3,4554,42
Married,54432.0,2,1,37,1,4,0,0,38,4,0,4,4736,76
Single,29999.0,1,0,22,4,8,0,0,160,8,0,4,4821,40
Single,24072.0,1,0,79,1,8,0,0,23,3,0,3,4759,43
Single,33996.0,0,0,46,1,4,0,0,71,5,0,4,4611,37
Married,66334.0,0,1,82,2,5,0,1,1161,17,0,4,4772,70
Married,35178.0,1,0,10,1,7,0,1,59,4,1,4,4855,55
Together,22010.0,1,0,51,2,8,0,0,33,5,0,3,4684,43
Divorced,62204.0,0,2,38,1,3,0,0,946,21,0,3,4975,66
Divorced,75693.0,0,0,10,1,4,0,1,1442,21,3,3,4890,58
Married,30675.0,1,0,14,1,8,0,0,62,4,0,3,4914,54
Together,83003.0,0,0,18,1,3,0,1,1674,21,1,3,4803,61
Single,68655.0,0,0,95,1,3,0,0,1538,20,0,3,5008,38
Divorced,41411.0,0,0,11,1,6,0,0,139,7,0,3,4524,40
Married,55212.0,0,1,65,3,8,0,0,1182,17,2,4,4903,57
Together,59292.0,0,1,71,2,3,0,0,507,16,0,4,4701,76
Together,27190.0,1,0,13,1,8,0,1,18,3,1,1,4638,53
Divorced,82623.0,0,0,58,1,1,0,0,940,15,0,3,4551,74
Married,44300.0,1,1,65,2,6,0,0,42,4,0,3,4691,61
Divorced,84835.0,0,0,0,1,1,0,1,1190,14,0,3,4333,56
Widow,30372.0,1,1,33,3,7,0,0,44,5,0,3,4871,55
Married,33181.0,1,0,90,1,6,0,0,16,3,1,4,4497,50
Married,71113.0,0,1,95,4,4,0,0,835,22,0,3,4514,69
Married,71952.0,1,0,93,2,4,0,0,1443,20,2,3,4855,40
Single,69759.0,0,0,38,3,3,0,1,1029,15,0,4,4564,60
Married,72099.0,0,0,18,1,1,0,0,1188,17,0,3,4930,52
Single,60000.0,0,1,57,5,6,0,0,1277,19,0,4,4874,50
Single,38643.0,1,1,45,2,7,1,0,49,5,0,3,4532,48
Married,50737.0,0,1,61,1,6,0,0,99,6,1,3,4734,71
Married,68462.0,0,0,6,1,1,0,0,1670,14,0,4,4884,57
Married,65073.0,0,0,65,1,2,1,0,900,13,0,4,4633,83
Together,46681.0,0,2,52,2,5,0,0,425,14,0,4,4584,78
Married,78618.0,0,0,87,1,2,0,0,2153,21,1,3,4959,69
Widow,62187.0,0,1,38,3,4,0,0,636,18,0,4,4419,57
Married,28442.0,2,0,53,3,4,0,0,57,7,0,3,4445,48
Married,37717.0,1,0,31,1,9,0,0,25,3,0,4,4903,48
Married,51479.0,1,1,67,7,7,0,0,494,15,0,3,4868,59
Single,54803.0,0,1,65,2,4,0,0,693,17,0,3,4997,57
Married,79530.0,0,0,64,1,2,0,0,1348,25,0,3,4728,66
Divorced,31615.0,1,0,82,2,7,0,0,51,5,0,3,4790,50
Together,72025.0,0,0,27,1,3,0,0,1932,15,0,3,4909,64
Single,52614.0,0,1,63,2,8,0,0,990,14,0,4,4895,51
Married,35684.0,1,0,66,1,6,0,0,30,4,0,2,4388,42
Married,48178.0,1,1,69,6,8,0,0,254,10,0,3,4929,51
Single,29548.0,1,0,52,1,4,0,0,29,4,1,4,4624,56
Single,63810.0,0,1,45,4,8,0,0,1371,19,1,3,4915,60
Single,38578.0,1,1,2,3,8,0,1,73,6,0,4,4692,54
Single,46098.0,1,1,86,4,8,0,0,120,7,0,4,5000,51
Single,22585.0,0,0,23,1,9,0,1,81,4,1,3,4788,56
Single,30279.0,1,0,13,1,8,0,0,37,4,0,3,4866,37
Together,66426.0,0,1,14,2,6,0,0,1377,18,0,4,4590,65
Single,30822.0,1,0,92,1,7,0,0,51,4,0,3,4700,57
Married,33581.0,2,0,38,1,8,0,0,17,3,0,4,4857,57
Married,19986.0,1,0,74,1,7,0,0,22,3,0,3,4547,41
Widow,27421.0,0,0,14,3,7,0,0,324,11,0,3,4884,72
Married,35688.0,2,1,94,7,8,0,0,211,9,0,2,4996,53
Single,36143.0,1,0,33,1,3,0,0,19,3,0,4,4411,45
Single,10245.0,1,0,32,3,5,0,0,41,5,0,3,4730,55
Together,43795.0,0,1,11,3,7,0,1,492,14,1,4,4576,58
Together,63381.0,0,1,78,4,2,0,0,1005,22,0,3,4952,66
Together,38823.0,0,1,56,1,6,0,0,114,6,0,3,4988,77
Divorced,83664.0,1,1,57,3,5,0,0,1173,16,0,4,4737,58
Together,90300.0,0,0,7,0,1,0,0,1738,19,1,3,4497,47
